Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Terrapene carolina,0.0619,0.8737,0.95,13.17,0.0005041,0.7987,0.3008,,,,,,
Terrapene ornata,0.04141,0.8944,0.95,19.37,0.001778,0.8006,,,,,,,
Chrysemys picta,0.02133,0.8743,0.95,24.96,0.002,0.8015,,,,,,,
Deirochelys reticularia,0.02462,0.9202,0.95,41.69,0.002,0.8019,0.3755,,,,,,
Graptemys caglei,0.02683,0.7642,0.95,78.15,0.002,0.8082,,,,,,,
Graptemys ernsti,0.02682,0.6357,0.95,12.05,0.0004548,0.7986,0.2967,,,,,,
Graptemys oculifera,0.03039,0.6096,0.95,40.4,0.002,0.8012,0.3878,,,,,,
Graptemys ouachitensis,0.0198,0.7245,0.95,20.62,0.002,0.8004,,,,,,,
Graptemys pseudogeographica,0.04414,0.7397,0.95,7.068,0.0002691,0.7982,0.2994,,,,,,
Graptemys versa,0.02275,0.9605,0.95,33.1,0.002,0.8017,,,,,,,
Malaclemys terrapin,0.07421,0.4881,0.95,25.42,0.000927,0.799,0.2865,,,,,,
Pseudemys alabamensis,0.02953,0.9819,0.95,9.339,0.0003689,0.7983,0.3106,,,,,,
Pseudemys concinna,0.03379,0.9608,0.95,27.01,0.002,0.8011,,,,,,,
Pseudemys nelsoni,0.0309,0.355,0.95,32.27,0.002,0.8011,,,,,,,
Pseudemys peninsularis,0.03025,0.9674,0.95,33.57,0.002,0.8024,,,,,,,
Pseudemys texana,0.02298,0.9893,0.95,21.88,0.0008802,0.8006,0.3154,,,,,,
Trachemys scripta,0.02459,0.9689,0.95,11.25,0.0004293,0.7985,0.3,,,,,,
Gopherus agassizii,0.04085,0.5274,0.95,3.824,0.0001373,0.7984,0.2823,,,,,,
Gopherus berlandieri,0.02969,0.9087,0.95,16.82,0.0006375,0.7988,0.2978,,,,,,
Gopherus morafkai,0.03194,0.8525,0.95,5.816,0.0002223,0.796,0.3014,,,,,,
Gopherus polyphemus,0.02074,0.7435,0.95,9.947,0.000377,0.7982,0.298,,,,,,
Aldabrachelys gigantea,0.06381,0.8902,0.95,1.297,4.957e-5,0.7994,0.3,,,,,,
Astrochelys yniphora,0.01738,0.8106,0.95,2.484,9.413e-5,0.7948,0.2993,,,,,,
Centrochelys sulcata,0.03318,0.9708,0.95,27.65,0.00201,0.8001,,,,,,,
Chelonoidis niger,0.01569,0.9806,0.95,22.75,0.002,0.8012,,,,,,,
Geochelone elegans,0.04021,0.545,0.95,3.456,0.0001295,0.7988,0.2945,,,,,,
Homopus signatus,0.02205,0.696,0.95,8.935,0.0003395,0.7985,0.2986,,,,,,
Malacochersus tornieri,0.01515,0.377,0.95,34.19,0.002,0.8025,,,,,,,
Psammobates geometricus,0.01355,0.6303,0.95,4.881,0.0001778,0.7918,0.2887,,,,,,
Psammobates oculiferus,0.01644,0.9791,0.95,7.972,9.218e-8,0.7981,9.093e-5,,,,,,
Stigmochelys pardalis,0.01249,0.743,0.95,20.66,0.0007844,0.801,0.2976,,,,,,
Testudo hermanni,0.03299,0.6643,0.95,5.109,0.0001934,0.7979,0.2977,,,,,,
Testudo graeca,0.05693,0.6982,0.95,9.107,0.0003445,0.7977,0.2976,,,,,,
Batagur affinis,0.04746,0.5594,0.95,14.09,0.0005027,0.7995,0.28,,,,,,
Batagur baska,0.05309,0.7208,0.95,18.68,0.0006969,0.8,0.2926,,,,,,
Cuora flavomarginata,0.03866,0.5648,0.95,6.928,0.0002429,0.7978,0.2758,,,,,,
Heosemys spinosa,0.0358,0.9475,0.95,7.373,0.0002807,0.7965,0.3,,,,,,
Mauremys japonica,0.01789,0.8229,0.95,15.61,0.0005968,0.7995,0.3002,,,,,,
Mauremys reevesii,0.02764,0.991,0.95,322.3,0.002,0.7988,,,,,,,
Mauremys rivulata,0.01288,0.9512,0.95,24.4,0.0009882,0.8019,0.317,,,,,,
Mauremys sinensis,0.02248,0.8412,0.95,22.25,0.002,0.8005,,,,,,,
Melanochelys tricarinata,0.04208,0.5602,0.95,17.1,0.001062,0.7976,,,,,,,
Pangshura tecta,0.02396,0.9053,0.95,21.09,0.0008488,0.8005,0.3155,,,,,,
Alligator mississippiensis,0.04418,0.8665,0.95,14.65,0.0005693,0.7982,0.3055,,,,,,
Alligator sinensis,0.09353,0.8984,0.95,11.01,0.0004217,0.7959,0.3022,,,,,,
Caiman crocodilus,0.08028,0.9621,0.95,11.59,0.0004442,0.7983,0.3014,,,,,,
Caiman latirostris,0.03432,0.9194,0.95,16.58,0.002,0.7993,,,,,,,
Caiman yacare,0.02433,0.6777,0.95,17.69,0.002,0.7998,,,,,,,
Deinosuchus rugosus,0.01684,0.93,0.95,16.7,0.0006388,0.7999,0.3001,,,,,,
Melanosuchus niger,0.1385,0.3668,0.95,15.98,0.002,0.7993,,,,,,,
Paleosuchus palpebrosus,0.0382,0.5596,0.95,10.88,0.0004139,0.796,0.2999,,,,,,
Paleosuchus trigonatus,0.02379,0.8606,0.95,20.05,0.0007712,0.8,0.3017,,,,,,
Gavialis gangeticus,0.02841,0.7407,0.95,19.83,0.002,0.7998,,,,,,,
Tomistoma schlegelii,0.08397,0.7765,0.95,3.094,0.0001174,0.7975,0.2986,,,,,,
Crocodylus johnsoni,0.07124,0.97,0.95,55.92,0.002,0.8412,,,,,,,
Crocodylus mindorensis,0.03999,0.8864,0.95,21.04,0.002,0.8002,,,,,,,
Crocodylus porosus,0.02338,0.9092,0.95,15.32,0.0005805,0.798,0.2981,,,,,,
Crocodylus siamensis,0.04694,0.9206,0.95,22.3,0.002,0.7996,,,,,,,
Crocodylus palustris,0.06651,0.7741,0.95,19.56,0.002,0.7983,,,,,,,
Crocodylus niloticus,0.01374,0.6599,0.95,23.32,0.002,0.8374,,,,,,,
Crocodylus moreletii,0.1466,0.8021,0.95,3.05,0.0001152,0.7901,0.3001,,,,,,
Crocodylus rhombifer,0.066,0.8419,0.95,20.43,0.002,0.8002,,,,,,,
Crocodylus intermedius,0.04124,0.9828,0.95,26.31,0.002,0.8008,,,,,,,
Crocodylus acutus,0.0323,0.8872,0.95,21.93,0.002,0.8008,,,,,,,
Mecistops cataphractus,0.03359,0.8666,0.95,18.57,0.0007104,0.7998,0.3002,,,,,,
Osteolaemus tetraspis,0.0332,0.9497,0.95,20.25,0.002,0.7992,,,,,,,
Pterodaustro guinazui,0.03529,0.959,0.95,29.48,0.002,0.7984,0.5333,,,,,,
Plateosaurus engelhardti,0.02156,0.8547,0.95,27.87,0.001417,0.8008,0.3985,,,,,,
Camerasaurus spec,0.01973,0.7867,0.95,17.9,0.002,0.8,,,,,,,
Rapetosaurus krausei,0.01667,0.9802,0.95,29.02,0.002,0.8013,0.5399,,,,,,
Apatosaurus spec,0.02279,0.926,0.95,17.51,0.002,0.8004,,,,,,,
Mamenchisaurus spec,0.01927,0.9068,0.95,17.72,0.002,0.8,,,,,,,
Psittacosaurus lujiatunensis,0.01378,0.3421,0.95,16.37,0.001,0.7996,,,,,,,
Psittacosaurus mongoliensis,0.02705,0.9787,0.95,20.46,0.000656,0.8,0.2516,,,,,,
Maiasaura peeblesorum,0.1049,0.9847,0.95,50.45,0.002,0.7841,,,,,,,
Daspletosaurus torosus,0.0153,0.8468,0.95,15.92,0.0006085,0.7998,0.2999,,,,,,
Gorgosaurus libratus,0.02015,0.8013,0.95,19.89,0.0009015,0.801,0.3551,,,,,,
Tyrannosaurus rex,0.01255,0.5159,0.95,15.21,0.0005785,0.7998,0.2986,,,,,,
Archaeopteryx lithographica,0.02527,0.7565,0.95,27.15,0.002,0.8019,,,,,,,
Struthio camelus,0.05351,0.6938,0.95,500.3,0.02023,0.8009,0.2957,,,,,,
Rhynchotus rufescens,0.03981,0.7758,0.95,1658.0,0.06663,0.7996,0.2943,,,,,,
Rhea americana,0.03022,0.9029,0.95,1797.0,0.07445,0.7999,0.3033,,,,,,
Apteryx mantelli,0.08662,0.8619,0.95,24.31,0.001,0.8032,0.3,,,,,,
Dromaius novaehollandiae,0.02338,0.9203,0.95,775.1,0.03212,0.8054,0.3014,,,,,,
Casuarius casuarius,0.02973,0.8534,0.95,1610.0,0.06648,0.8012,0.3018,,,,,,
Casuarius bennetti,0.01796,0.9798,0.95,2989.0,0.1223,0.8001,0.2995,,,,,,
Alectura lathami,0.09973,0.7509,0.95,20.51,0.0008339,0.8009,0.2973,,,,,,
Leipoa ocellata,0.02541,0.4419,0.95,588.8,0.02522,0.8049,0.3118,,,,,,
Crax blumenbachii,0.05755,0.9225,0.95,44.79,0.001914,0.8019,0.3121,,,,,,
Oreophasis derbianus,0.05924,0.94,0.95,20.54,0.0008539,0.7998,0.3044,,,,,,
Ortalis vetula,0.03651,0.734,0.95,1450.0,0.05352,0.794,0.2723,,,,,,
Numida meleagris,0.01927,0.9641,0.95,1433.0,0.002,0.7961,0.01027,,,,,,
Callipepla californica,0.01977,0.9874,0.95,401.8,0.01653,0.8001,0.3012,,,,,,
Callipepla squamata,0.01881,0.5051,0.95,1519.0,0.06229,0.7996,0.3005,,,,,,
Colinus virginianus,0.0122,0.1629,0.95,300.7,0.01176,0.8083,0.2833,,,,,,
Cyrtonyx montezumae,0.02106,0.9294,0.95,892.9,0.03664,0.8001,0.3005,,,,,,
Oreortyx pictus,0.01931,0.8957,0.95,1500.0,0.06145,0.8002,0.2998,,,,,,
Bonasa umbellus,0.01706,0.897,0.95,2557.0,0.1051,0.8013,0.3006,,,,,,
Centrocercus urophasianus,0.02665,0.9785,0.95,957.2,0.03887,0.7997,0.2974,,,,,,
Dendragapus obscurus,0.03026,0.9442,0.95,1777.0,0.07278,0.8,0.2999,,,,,,
Falcipennis canadensis,0.02925,0.962,0.95,1795.0,0.07373,0.8003,0.3007,,,,,,
Lagopus lagopus,0.01907,0.9937,0.95,4727.0,0.1949,0.8006,0.3017,,,,,,
Lagopus leucura,0.02024,0.9827,0.95,2363.0,0.09678,0.8001,0.2999,,,,,,
Lagopus muta,0.03148,0.9777,0.95,1539.0,0.06308,0.8,0.3001,,,,,,
Meleagris gallopavo,0.01929,0.9948,0.95,1362.0,0.05669,0.8021,0.304,,,,,,
Tetrao urogallus,0.04944,0.9787,0.95,920.3,0.03769,0.7998,0.3,,,,,,
Tetrastes bonasia,0.02447,0.9886,0.95,1974.0,0.0803,0.7998,0.2979,,,,,,
Tympanuchus pallidicinctus,0.04944,0.9537,0.95,920.3,0.03765,0.7989,0.2999,,,,,,
Tympanuchus phasianellus,0.0184,0.9649,0.95,499.0,0.02048,0.8012,0.3001,,,,,,
Perdix perdix,0.02423,0.9645,0.95,2823.0,0.1147,0.8001,0.2976,,,,,,
Phasianus colchicus,0.02436,0.9595,0.95,1668.0,0.06815,0.7994,0.2995,,,,,,
Pavo cristatus,0.0261,0.7739,0.95,1060.0,0.04328,0.7999,0.2991,,,,,,
Polyplectron inopinatum,0.0889,0.9877,0.95,57.37,0.002355,0.8017,0.2999,,,,,,
Francolinus francolinus,0.0211,0.9017,0.95,1706.0,0.06976,0.7996,0.2995,,,,,,
Gallus gallus,0.02725,0.9615,0.95,1417.0,0.05551,0.7997,0.287,,,,,,
Gallus gallus IR,0.05172,0.8236,0.95,5065.0,0.002,0.7979,0.002899,,,,,,
Gallus gallus WL,0.05066,0.2899,0.95,77.59,0.003154,0.801,0.2973,,,,,,
Alectoris chukar,0.03114,0.9201,0.95,813.8,0.03327,0.799,0.2997,,,,,,
Alectoris graeca,0.02209,0.7795,0.95,4832.0,0.1964,0.7994,0.2979,,,,,,
Alectoris rufa,0.023,0.8542,0.95,2613.0,0.1073,0.8003,0.3006,,,,,,
Coturnix coturnix,0.04155,0.7822,0.95,1131.0,0.04284,0.8001,0.2773,,,,,,
Coturnix japonica,0.02423,0.4032,0.95,728.5,0.02964,0.7998,0.298,,,,,,
Pternistis bicalcaratus,0.08146,0.9619,0.95,27.62,0.001134,0.8013,0.3001,,,,,,
Synoicus chinensis,0.02328,0.9338,0.95,1361.0,0.05568,0.8006,0.2993,,,,,,
Tetraogallus himalayensis,0.02737,0.9523,0.95,967.6,0.03956,0.7986,0.2999,,,,,,
Dendrocygna autumnalis,0.03314,0.8908,0.95,819.4,0.03228,0.796,0.2899,,,,,,
Dendrocygna bicolor,0.02211,0.804,0.95,4338.0,0.1782,0.8,0.3007,,,,,,
Oxyura jamaicensis,0.08285,0.6292,0.95,152.4,0.006305,0.8006,0.3027,,,,,,
Bucephala albeola,0.1012,0.8356,0.95,19.59,0.002,0.7986,0.7491,,,,,,
Bucephala clangula,0.03132,0.7509,0.95,2479.0,0.1018,0.8002,0.3005,,,,,,
Clangula hyemalis,0.02487,0.7715,0.95,4295.0,0.1757,0.8007,0.2994,,,,,,
Mergus merganser,0.06147,0.6748,0.95,261.5,0.01105,0.8032,0.3081,,,,,,
Mergus serrator,0.02552,0.4395,0.95,1015.0,0.0392,0.7958,0.2842,,,,,,
Somateria mollissima,0.02582,0.9921,0.95,4995.0,1.765e-15,0.8001,2.587e-15,,,,,,
Melanitta perspicillata,0.03628,0.7913,0.95,977.3,0.04163,0.803,0.3107,,,,,,
Melanitta deglandi,0.07188,0.6668,0.95,149.8,0.006169,0.8009,0.3013,,,,,,
Anas acuta,0.09447,0.7037,0.95,2791.0,0.0378,0.8018,0.09893,,,,,,14.09
Anas diazi,0.02531,0.7899,0.95,2514.0,0.1028,0.7999,0.2995,,,,,,
Anas platyrhynchos,0.04478,0.8122,0.95,138.1,0.005722,0.8042,0.3018,,,,,,
Anas rubripes,0.01957,0.8439,0.95,1498.0,0.06121,0.7996,0.2993,,,,,,
Anas sparsa,0.0229,0.9143,0.95,693.9,0.02771,0.7989,0.2928,,,,,,
Mareca americana,0.02894,0.8941,0.95,662.2,0.02705,0.7996,0.2993,,,,,,
Mareca strepera,0.0372,0.7706,0.95,761.1,0.03147,0.8,0.3028,,,,,,
Spatula discors,0.02626,0.6027,0.95,445.7,0.01965,0.8022,0.3219,,,,,,
Cygnus cygnus,0.04467,0.7131,0.95,319.2,0.002,0.7979,,,,,,,6.814
Cygnus olor,0.02447,0.8531,0.95,581.3,0.02487,0.8024,0.3123,,,,,,
Anser anser,0.02434,0.9761,0.95,7677.0,0.328,0.8004,0.3127,,,,,,
Anser caerulescens,0.02195,0.8979,0.95,1407.0,0.05834,0.7997,0.3038,,,,,,
Branta bernicla,0.02539,0.9096,0.95,1745.0,0.07245,0.8008,0.3036,,,,,,
Branta canadensis,0.02689,0.8241,0.95,1805.0,0.07373,0.7997,0.2991,,,,,,
Branta hutchinsii,0.02995,0.8378,0.95,1285.0,0.05404,0.7991,0.3083,,,,,,
Branta leucopsis,0.03932,0.9429,0.95,668.8,0.02733,0.7997,0.2993,,,,,,
Branta sandvicensis,0.03562,0.8406,0.95,732.1,0.03049,0.8018,0.3043,,,,,,
Cereopsis novaehollandiae,0.02477,0.6064,0.95,899.9,0.002,0.7999,,,,,,,20.49
Aythya fuligula,0.02077,0.726,0.95,1438.0,0.05904,0.8002,0.3006,,,,,,
Aythya americana,0.02831,0.7419,0.95,674.1,0.02759,0.7993,0.2999,,,,,,
Aythya affinis,0.02758,0.7319,0.95,400.2,0.01691,0.8002,0.3093,,,,,,
Aythya valisineria,0.02919,0.48,0.95,506.8,0.02021,0.7972,0.293,,,,,,
Tadorna cana,0.03752,0.5001,0.95,472.9,0.02025,0.7993,0.3138,,,,,,
Aix galericulata,0.0302,0.6615,0.95,410.2,0.01678,0.8017,0.299,,,,,,
Chloephaga picta,0.03646,0.8394,0.95,541.3,0.02218,0.8001,0.2999,,,,,,
Podilymbus podiceps,0.02775,0.9233,0.95,600.7,0.0247,0.8006,0.3008,,,,,,
Phoeniconaias minor,0.04029,0.903,0.95,512.0,0.02043,0.7987,0.2926,,,,,,
Phoenicopterus chilensis,0.0344,0.9795,0.95,699.6,0.02862,0.8002,0.2995,,,,,,
Phoenicopterus roseus,0.03404,0.9942,0.95,1049.0,0.04305,0.8001,0.3004,,,,,,
Phoenicopterus ruber,0.06988,0.9955,0.95,155.5,0.00639,0.8001,0.3009,,,,,,
Zenaida macroura,0.03009,0.8315,0.95,808.6,0.03311,0.8,0.2998,,,,,,
Patagioenas fasciata,0.01783,0.9329,0.95,7185.0,0.2899,0.7989,0.2958,,,,,,
Streptopelia decaocto,0.01539,0.9337,0.95,9413.0,0.394,0.8015,0.3059,,,,,,
Streptopelia roseogrisea,0.02781,0.7877,0.95,2033.0,0.08341,0.7998,0.3005,,,,,,
Columba oenas,0.02434,0.9046,0.95,6471.0,0.2535,0.7956,0.2885,,,,,,
Columba livia,0.0177,0.7295,0.95,7099.0,0.2929,0.801,0.3018,,,,,,
Columba palumbus,0.02544,0.9239,0.95,8923.0,0.3736,0.8006,0.3063,,,,,,
Columbina talpacoti,0.02235,0.9523,0.95,7863.0,0.318,0.7996,0.2963,,,,,,
Caloenas nicobarica,0.009701,0.9934,0.945,8753.0,0.3589,0.7997,0.3003,,,,,,
Hemiphaga novaeseelandiae,0.01409,0.9919,0.945,2466.0,0.1003,0.7984,0.2985,,,,,,
Mesitornis variegatus,0.05466,0.9492,0.95,20.99,0.0008566,0.799,0.2992,,,,,,
Pterocles alchata,0.0287,0.9764,0.95,455.3,0.01863,0.8002,0.2994,,,,,,
Pterocles namaqua,0.05062,0.8227,0.95,1352.0,0.05573,0.8006,0.3017,,,,,,
Pterocles orientalis,0.03234,0.9482,0.95,528.5,0.02164,0.7999,0.2999,,,,,,
Tauraco corythaix,0.03366,0.9541,0.95,464.2,0.01914,0.8013,0.3015,,,,,,
Tauraco erythrolophus,0.03313,0.8773,0.95,727.0,0.02918,0.8031,0.2928,,,,,,
Dromococcyx pavoninus,0.0402,0.8094,0.95,902.7,0.03764,0.7985,0.3058,,,,,,
Geococcyx californianus,0.07616,0.858,0.95,1160.0,0.04665,0.8009,0.2941,,,,,,
Centropus senegalensis,0.03454,0.9695,0.95,1073.0,0.04443,0.7989,0.3037,,,,,,
Centropus sinensis,0.03424,0.96,0.95,2447.0,0.09932,0.7999,0.2973,,,,,,
Centropus toulou,0.03132,0.9687,0.95,3248.0,0.1307,0.7995,0.2948,,,,,,
Clamator glandarius,0.04481,0.79,0.95,703.7,0.02871,0.8002,0.2986,,,,,,
Clamator jacobinus,0.05891,0.7846,0.95,486.4,0.01997,0.8001,0.3005,,,,,,
Clamator levaillantii,0.03864,0.9376,0.95,1427.0,0.05841,0.8004,0.2996,,,,,,
Coccyzus americanus,0.07082,0.6953,0.95,463.0,0.01892,0.8,0.2992,,,,,,
Coccyzus erythropthalmus,0.07969,0.6888,0.95,450.6,0.01851,0.8008,0.3006,,,,,,
Chalcites basalis,0.03699,0.8161,0.95,686.6,0.02777,0.799,0.2965,,,,,,
Chalcites lucidus,0.02249,0.5864,0.95,2896.0,0.1149,0.7991,0.2909,,,,,,
Cacomantis merulinus,0.02913,0.8554,0.95,564.5,0.02298,0.8007,0.2979,,,,,,
Cuculus canorus,0.03519,0.9591,0.95,1259.0,0.03676,0.7903,0.2163,,,,,,
Cuculus solitarius,0.04732,0.7627,0.95,654.9,0.02678,0.8008,0.2992,,,,,,
Hierococcyx sparverioides,0.02879,0.9644,0.95,3360.0,0.1371,0.7994,0.299,,,,,,
Afrotis afra,0.03398,0.9762,0.95,1488.0,0.0602,0.7992,0.2965,,,,,,
Ardeotis kori,0.052,0.9962,0.95,488.8,0.02,0.8006,0.2994,,,,,,
Chlamydotis undulata,0.03317,0.9893,0.95,530.8,0.02183,0.8008,0.3008,,,,,,
Otis tarda,0.03294,0.9884,0.95,1060.0,0.04323,0.8003,0.2985,,,,,,
Psophia crepitans,0.03884,0.9582,0.95,381.0,0.01569,0.8011,0.3012,,,,,,
Psophia leucoptera,0.03734,0.852,0.95,1220.0,0.04832,0.799,0.2904,,,,,,
Grus japonensis,0.02874,0.6818,0.95,465.2,0.01834,0.7983,0.2893,,,,,,
Grus monacha,0.03195,0.9561,0.95,1248.0,0.05276,0.8034,0.3082,,,,,,
Grus americana,0.04029,0.9565,0.95,547.8,0.02234,0.7997,0.2988,,,,,,
Grus virgo,0.04307,0.9033,0.95,550.9,0.02211,0.8034,0.2927,,,,,,
Antigone antigone,0.03414,0.9029,0.95,708.6,0.03001,0.8007,0.3098,,,,,,
Antigone vipio,0.04705,0.8652,0.95,769.3,0.03024,0.7977,0.2886,,,,,,
Antigone canadensis,0.05024,0.9873,0.95,519.0,0.02118,0.7991,0.2991,,,,,,
Antigone rubicunda,0.04409,0.9403,0.95,598.1,0.02783,0.811,0.3361,,,,,,
Leucogeranus leucogeranus,0.04119,0.9604,0.95,692.7,0.0295,0.8011,0.3114,,,,,,
Crex crex,0.04016,0.6509,0.95,460.9,0.01876,0.7967,0.2993,,,,,,
Fulica americana,0.01277,0.6103,0.95,5497.0,0.2334,0.7913,0.3144,,,,,,
Gallinula chloropus,0.03144,0.6896,0.95,505.9,0.02078,0.8003,0.3007,,,,,,
Gallinula melanops,0.01706,0.4674,0.95,1555.0,0.0577,0.7967,0.2729,,,,,,
Hypotaenidia owstoni,0.02883,0.9077,0.95,1651.0,0.06775,0.7992,0.3008,,,,,,
Porphyrio martinica,0.02852,0.5991,0.95,474.5,0.01974,0.8017,0.304,,,,,,
Porzana carolina,0.02787,0.7001,0.95,955.0,0.03856,0.7996,0.2958,,,,,,
Rallus elegans,0.03005,0.8877,0.95,973.1,0.04007,0.8005,0.3013,,,,,,
Rallus limicola,0.03309,0.7636,0.95,583.6,0.0237,0.8014,0.2969,,,,,,
Jacana spinosa,0.02065,0.7198,0.95,520.4,0.02103,0.7994,0.2961,,,,,,
Bartramia longicauda,0.03992,0.7137,0.95,540.5,0.02185,0.7995,0.2962,,,,,,
Numenius arquata,0.03855,0.7169,0.95,630.4,0.02631,0.799,0.306,,,,,,
Numenius phaeopus,0.03223,0.9478,0.95,2017.0,0.08342,0.7979,0.3037,,,,,,
Numenius tahitiensis,0.05099,0.6523,0.95,443.8,0.01796,0.8002,0.2964,,,,,,
Limosa haemastica,0.0424,0.9744,0.95,533.1,0.02207,0.8012,0.3027,,,,,,
Limosa limosa,0.03589,0.9161,0.95,1114.0,0.04478,0.7998,0.2943,,,,,,
Arenaria interpres,0.03491,0.7213,0.95,1069.0,0.04167,0.8011,0.2851,,,,,,
Arenaria melanocephala,0.03975,0.7561,0.95,829.2,0.03277,0.7992,0.2897,,,,,,
Calidris alpina,0.03497,0.9004,0.95,984.3,0.04014,0.7994,0.2988,,,,,,
Calidris bairdii,0.03059,0.7997,0.95,1200.0,0.04888,0.8001,0.2981,,,,,,
Calidris ferruginea,0.03001,0.9304,0.95,1408.0,0.05888,0.8002,0.3062,,,,,,
Calidris fuscicollis,0.0261,0.9279,0.95,1311.0,0.05327,0.7981,0.2983,,,,,,
Calidris himantopus,0.03688,0.8263,0.95,657.7,0.02736,0.8004,0.3044,,,,,,
Calidris maritima,0.08647,0.7228,0.95,560.3,0.02233,0.8001,0.2919,,,,,,
Calidris mauri,0.03003,0.7892,0.95,563.7,0.02283,0.8,0.2965,,,,,,
Calidris melanotos,0.02982,0.7823,0.95,858.6,0.03434,0.7995,0.293,,,,,,
Calidris minuta,0.02569,0.7104,0.95,675.6,0.02767,0.8001,0.2998,,,,,,
Calidris minutilla,0.03369,0.7581,0.95,565.2,0.0239,0.8024,0.3087,,,,,,
Calidris pusilla,0.03096,0.7886,0.95,601.4,0.02564,0.8046,0.3103,,,,,,
Philomachus pugnax,0.02059,0.9748,0.95,3841.0,0.1585,0.801,0.3018,,,,,,
Limnodromus griseus,0.03717,0.9178,0.95,548.2,0.02247,0.7996,0.3002,,,,,,
Scolopax minor,0.03334,0.9793,0.95,753.2,0.03034,0.7999,0.295,,,,,,
Coenocorypha aucklandica,0.03059,0.6655,0.95,517.0,0.02154,0.8003,0.305,,,,,,
Coenocorypha huegeli,0.05007,0.591,0.95,160.5,0.006602,0.7996,0.3013,,,,,,
Coenocorypha pusilla,0.03008,0.6997,0.95,505.2,0.02076,0.8002,0.3008,,,,,,
Gallinago delicata,0.02471,0.9445,0.95,469.5,0.01908,0.7995,0.2977,,,,,,
Gallinago gallinago,0.1111,0.9272,0.95,20.46,0.0008394,0.8007,0.3001,,,,,,
Phalaropus lobatus,0.03161,0.9094,0.95,556.1,0.02265,0.7993,0.2985,,,,,,
Actitis macularius,0.02949,0.7728,0.95,576.4,0.02374,0.8008,0.3013,,,,,,
Tringa flavipes,0.04568,0.8935,0.95,658.3,0.02595,0.7979,0.2893,,,,,,
Tringa totanus,0.03484,0.7473,0.5886,519.2,0.02154,0.797,0.305,,,,,,
Pedionomus torquatus,0.03699,0.7094,0.95,320.7,0.01317,0.8,0.3007,,,,,,
Uria aalge,0.0262,0.9895,0.95,2111.0,0.08623,0.7999,0.2991,,,,,,
Uria lomvia,0.04215,0.9894,0.95,326.6,0.01338,0.7997,0.3002,,,,,,
Alle alle,0.04131,0.9008,0.95,625.0,0.02478,0.7991,0.2907,,,,,,
Pinguinus impennis,0.0492,0.9001,0.7492,352.9,0.0153,0.8037,0.3161,,,,,,
Alca torda,0.02719,0.9883,0.95,624.3,0.02577,0.8005,0.3021,,,,,,
Synthliboramphus scrippsi,0.02803,0.8169,0.95,444.9,0.01822,0.7974,0.3009,,,,,,
Cepphus columba,0.02119,0.7662,0.95,2998.0,0.1086,0.7949,0.2669,,,,,,
Cepphus grylle,0.03721,0.8771,0.95,1160.0,0.04587,0.7983,0.2902,,,,,,
Brachyramphus brevirostris,0.02872,0.9839,0.95,471.6,0.01922,0.7974,0.2994,,,,,,
Brachyramphus marmoratus,0.0277,0.9446,0.95,1260.0,0.05091,0.7974,0.2968,,,,,,
Ptychoramphus aleuticus,0.03253,0.7712,0.95,927.2,0.03381,0.7964,0.2682,,,,,,
Aethia cristatella,0.02005,0.9442,0.95,1892.0,0.0772,0.7988,0.2992,,,,,,
Aethia pusilla,0.0308,0.9303,0.95,423.6,0.01728,0.8005,0.2985,,,,,,
Aethia psittacula,0.02654,0.9599,0.95,511.2,0.02099,0.7998,0.3007,,,,,,
Aethia pygmaea,0.02508,0.804,0.95,488.1,0.02055,0.8015,0.3078,,,,,,
Cerorhinca monocerata,0.02326,0.9457,0.95,652.9,0.02705,0.8011,0.303,,,,,,
Fratercula arctica,0.04464,0.7973,0.95,586.2,0.02975,0.8052,0.3692,,,,,,
Fratercula cirrhata,0.01498,0.9772,0.95,693.4,0.02872,0.8007,0.303,,,,,,
Onychoprion fuscatus,0.03904,0.6895,0.95,400.0,0.01653,0.8006,0.3024,,,,,,
Onychoprion anaethetus,0.03031,0.6925,0.95,408.6,0.0167,0.7997,0.2995,,,,,,
Sterna dougallii,0.03122,0.8807,0.95,1150.0,0.04942,0.8024,0.3136,,,,,,
Sterna forsteri,0.03316,0.804,0.95,668.1,0.02687,0.7995,0.2946,,,,,,
Sterna hirundo,0.03522,0.8778,0.95,645.3,0.02603,0.7997,0.2955,,,,,,
Sterna paradisaea,0.03509,0.8535,0.95,1215.0,0.04848,0.7992,0.2924,,,,,,
Sterna sumatrana,0.03412,0.9287,0.95,9011.0,0.3513,0.7997,0.2856,,,,,,
Thalasseus bergii,0.04618,0.745,0.95,505.7,0.02003,0.7988,0.2904,,,,,,
Thalasseus elegans,0.03327,0.8291,0.95,1207.0,0.06188,0.8131,0.3694,,,,,,
Thalasseus sandvicensis,0.06142,0.8034,0.95,614.9,0.02537,0.8005,0.3019,,,,,,
Chlidonias hybrida,0.0476,0.359,0.95,7666.0,0.315,0.8001,0.3009,,,,,,
Chlidonias leucopterus,0.03275,0.9728,0.95,811.2,0.03345,0.8019,0.3012,,,,,,
Chlidonias niger,0.02481,0.8835,0.95,1443.0,0.05642,0.7982,0.2869,,,,,,
Gelochelidon nilotica,0.05223,0.8863,0.95,364.8,0.01447,0.7981,0.2911,,,,,,
